board_width,board_height,move_count,verdict,percentage_moves
1000,1000,621960,True,0.017770285714285714
1000,1000,3610148,True,0.10314708571428571
1000,1000,1649788,True,0.0471368
1000,1000,3273503,True,0.09352865714285714
1000,1000,2638137,True,0.07537534285714285
1000,1000,8357071,True,0.23877345714285714
1000,1000,7616803,True,0.21762294285714287
1000,1000,2218856,True,0.06339588571428571
1000,1000,487031,True,0.013915171428571429
1000,1000,529066,True,0.015116171428571428
1000,1000,7418014,True,0.21194325714285714
1000,1000,3053917,True,0.08725477142857142
1000,1000,8359104,True,0.23883154285714286
1000,1000,1576941,True,0.04505545714285714
1000,1000,4621127,True,0.1320322
1000,1000,7808057,True,0.22308734285714285
1000,1000,2142750,True,0.06122142857142857
1000,1000,327055,True,0.009344428571428571
1000,1000,20636755,True,0.5896215714285714
1000,1000,5751397,True,0.16432562857142857
1000,1000,2834787,True,0.08099391428571429
1000,1000,104911,True,0.002997457142857143
1000,1000,6240401,True,0.17829717142857143
1000,1000,3728383,True,0.10652522857142857
1000,1000,13385874,True,0.38245354285714284
1000,1000,6640723,True,0.18973494285714285
1000,1000,1203724,True,0.03439211428571429
1000,1000,2523619,True,0.0721034
1000,1000,23929259,True,0.6836931142857143
1000,1000,1362245,True,0.038921285714285714
1000,1000,2966760,True,0.08476457142857143
1000,1000,819152,True,0.02340434285714286
1000,1000,377676,True,0.010790742857142857
1000,1000,16751264,True,0.47860754285714285
1000,1000,223649,True,0.006389971428571429
1000,1000,35000000,False,1.0
1000,1000,52820,True,0.0015091428571428571
1000,1000,3499202,True,0.0999772
1000,1000,22530339,True,0.6437239714285714
1000,1000,490260,True,0.014007428571428572
1000,1000,397909,True,0.011368828571428572
1000,1000,210965,True,0.006027571428571428
1000,1000,5646640,True,0.16133257142857144
1000,1000,8181429,True,0.2337551142857143
1000,1000,9122145,True,0.2606327142857143
1000,1000,79453,True,0.002270085714285714
1000,1000,11770,True,0.0003362857142857143
1000,1000,68017,True,0.0019433428571428572
1000,1000,11977061,True,0.34220174285714283
1000,1000,3359696,True,0.09599131428571428
1000,1000,10656703,True,0.30447722857142856
1000,1000,1497945,True,0.04279842857142857
1000,1000,67346,True,0.0019241714285714285
1000,1000,1578247,True,0.045092771428571425
1000,1000,2360442,True,0.0674412
1000,1000,9631834,True,0.27519525714285714
1000,1000,4374336,True,0.12498102857142857
1000,1000,2972215,True,0.08492042857142858
1000,1000,1576142,True,0.04503262857142857
1000,1000,12101581,True,0.34575945714285716
1000,1000,5397156,True,0.15420445714285713
1000,1000,11902676,True,0.34007645714285717
1000,1000,34030870,True,0.9723105714285715
1000,1000,2798150,True,0.07994714285714286
1000,1000,1993364,True,0.05695325714285714
1000,1000,15681445,True,0.4480412857142857
1000,1000,1642939,True,0.046941114285714285
1000,1000,9116477,True,0.26047077142857145
1000,1000,25573506,True,0.7306716
1000,1000,5441130,True,0.15546085714285715
1000,1000,9978292,True,0.2850940571428571
1000,1000,5390304,True,0.15400868571428572
1000,1000,1058326,True,0.030237885714285713
1000,1000,3143631,True,0.08981802857142857
1000,1000,4717424,True,0.13478354285714286
1000,1000,1479407,True,0.04226877142857143
1000,1000,1970591,True,0.0563026
1000,1000,21578067,True,0.6165162
1000,1000,27582530,True,0.7880722857142857
1000,1000,5514324,True,0.15755211428571428
1000,1000,925955,True,0.026455857142857142
1000,1000,12492723,True,0.35693494285714283
1000,1000,5103828,True,0.14582365714285714
1000,1000,965180,True,0.02757657142857143
1000,1000,8758151,True,0.2502328857142857
1000,1000,1932486,True,0.05521388571428571
1000,1000,2691122,True,0.0768892
1000,1000,1126126,True,0.03217502857142857
1000,1000,35000000,False,1.0
1000,1000,378197,True,0.010805628571428572
1000,1000,2932438,True,0.08378394285714286
1000,1000,10414700,True,0.29756285714285713
1000,1000,446959,True,0.012770257142857143
1000,1000,3569393,True,0.10198265714285715
1000,1000,18150404,True,0.5185829714285715
1000,1000,2229737,True,0.06370677142857142
1000,1000,15605660,True,0.445876
1000,1000,7261419,True,0.2074691142857143
1000,1000,1114957,True,0.031855914285714285
1000,1000,2494602,True,0.07127434285714286
